StationNbr,Name,City,RegionalOffice,County,ConnectDate,DisconnectDate,IsActive,IsEtoStation,Elevation,GroundCover,Lat,Long,ZipCodes,SitingDesc,ETo_Qc_fraction,Pr_Qc_fraction,Rs_Qc_fraction,Tmax_Qc_fraction,Tmin_Qc_fraction,Tdew_Qc_fraction,Perc_month_missing_ETo_10+,Siting_Criteria,Fetch_perc
2,FivePoints,Five Points,South Central Region Office,Fresno,6/7/1982,12/31/2050,True,True,285,Grass,36.336222,-120.11291,['93624'],,0.9809863339275104,0.9797979797979798,0.8716577540106951,0.9756387403446227,0.9578134284016637,0.9494949494949495,0.1042471042471042,GOOD,0.9364197530864198
6,Davis,Davis,North Central Region Office,Yolo,7/17/1982,12/31/2050,True,True,60,Grass,38.535694,-121.77636,"['95618', '95617', '95616']",,0.9786096256684492,0.98989898989899,0.9500891265597148,0.9750445632798574,0.9435531788472965,0.9358288770053476,0.0463320463320463,GOOD,1.0
7,Firebaugh/Telles,Firebaugh,South Central Region Office,Fresno,9/22/1982,12/31/2050,True,True,185,Grass,36.851222,-120.59092,"['93622', '93665', '93620']",,0.9887106357694593,0.9732620320855615,0.8110516934046346,0.9607843137254902,0.9292929292929293,0.9102792632204397,0.2355212355212355,BAD,0.3916049382716049
12,Durham,Chico,Northern Region Office,Butte,10/19/1982,12/31/2050,True,True,130,Grass,39.608639,-121.82443,"['95974', '95958', '95938']",,0.9310754604872252,0.9904931669637552,0.9566250742721331,0.9572192513368984,0.9453357100415924,0.9423648247177658,0.0579150579150579,BAD,0.639753086419753
13,Camino,Placerville,North Central Region Office,El Dorado,10/19/1982,12/31/2050,True,True,2780,Grass,38.753136,-120.7336,"['95667', '95709']",,0.964349376114082,0.9893048128342246,0.9768270944741533,0.9102792632204397,0.9209744503862151,0.8894830659536542,0.166023166023166,BAD,0.9997530864197532
15,Stratford,Stratford,South Central Region Office,Kings,10/29/1982,12/31/2050,True,True,193,Grass,36.157972,-119.85143,"['93246', '93245', '93234', '93202', '93266']",,0.982174688057041,0.9851455733808675,0.9328579916815211,0.9578134284016637,0.9382055852644088,0.9512774806892454,0.0965250965250965,BAD,0.8175308641975308
35,Bishop,Bishop,Southern Region Office,Inyo,2/4/1983,12/31/2050,True,True,4170,Grass,37.358514,-118.40553,"['93515', '93514', '93513', '93512']",,0.9441473559120618,0.9982174688057041,0.8270944741532977,0.9714795008912656,0.9613784907902555,0.9578134284016637,0.3552123552123552,GOOD,0.9181481481481482
39,Parlier,Parlier,South Central Region Office,Fresno,5/23/1983,12/31/2050,True,True,337,Grass,36.597444,-119.50404,"['93662', '93657', '93654', '93618', '93161', '93648']",,0.983957219251337,0.9952465834818776,0.9358288770053476,0.9792038027332145,0.9340463458110517,0.9423648247177658,0.1119691119691119,BAD,0.3958024691358024
41,Calipatria/Mulberry,Calipatria,Southern Region Office,Imperial,7/17/1983,12/31/2050,True,True,-110,Grass,33.042986,-115.41585,"['92281', '92257', '92233']",,0.9441473559120618,0.9708853238265003,0.8526440879382056,0.9530600118835413,0.952465834818776,0.8936423054070113,0.305019305019305,GOOD,0.7369135802469136
43,McArthur,Glenburn,Northern Region Office,Shasta,10/31/1983,12/31/2050,True,True,3310,Grass,41.063767,-121.45602,"['96028', '96056']",,0.9869281045751634,0.9928698752228164,0.9334521687462864,0.9750445632798574,0.9607843137254902,0.946524064171123,0.1351351351351351,BAD,0.8872839506172839
44,U.C. Riverside,Riverside,Southern Region Office,Riverside,6/2/1985,12/31/2050,True,True,1020,Grass,33.964942,-117.33698,"['92522', '92521', '92519', '92518', '92517', '92516', '92515', '92514', '92513', '92509', '92507', '92506', '92505', '92504', '92503', '92502', '92501']",,0.9714795008912656,0.9857397504456328,0.9174093879976233,0.9673202614379085,0.9393939393939394,0.94058229352347,0.1891891891891892,BAD,0.2511111111111111
47,Brentwood,Brentwood,North Central Region Office,Contra Costa,11/18/1985,12/31/2050,True,True,45,Grass,37.928258,-121.6599,"['94548', '94514', '94513']",,0.9079025549613785,0.9893048128342246,0.8823529411764706,0.9560308972073678,0.9001782531194296,0.8995840760546643,0.1889763779527559,BAD,0.4675308641975308
52,San Luis Obispo,San Luis Obispo,Southern Region Office,San Luis Obispo,4/2/1986,12/31/2050,True,True,330,Grass,35.305442,-120.66178,"['93410', '93409', '93408', '93407', '93406', '93405', '93403', '93401']",,0.928698752228164,0.9952465834818776,0.994058229352347,0.9013666072489602,0.9435531788472965,0.8859180035650625,0.1119691119691119,BAD,0.6260493827160494
64,Santa Ynez,Santa Ynez,Southern Region Office,Santa Barbara,11/21/1986,12/31/2050,True,True,490,Grass,34.583144,-120.07924,['93460'],,0.922756981580511,0.9964349376114082,0.9869281045751634,0.9316696375519905,0.9453357100415924,0.9043374925727867,0.1196911196911196,GOOD,1.0
68,Seeley,Seeley,Southern Region Office,Imperial,5/29/1987,12/31/2050,True,True,40,Grass,32.759575,-115.73207,['92273'],,0.8865121806298277,0.988116458704694,0.8722519310754605,0.9316696375519905,0.9387997623291741,0.8966131907308378,0.3474903474903475,BAD,0.7938271604938272
70,Manteca,Manteca,North Central Region Office,San Joaquin,11/12/1987,12/31/2050,True,True,33,Grass,37.834822,-121.22319,"['95337', '95336', '95365', '95320', '95231']",,0.9845513963161022,0.9952465834818776,0.9768270944741533,0.9685086155674391,0.9417706476530006,0.9370172311348782,0.0579150579150579,GOOD,1.0003703703703704
71,Modesto,Modesto,South Central Region Office,Stanislaus,6/25/1987,12/31/2050,True,True,35,Grass,37.645222,-121.18776,"['95397', '95358', '95357', '95356', '95355', '95354', '95353', '95352', '95351', '95350']",,0.9714795008912656,0.9875222816399287,0.976232917409388,0.946524064171123,0.9459298871063577,0.9233511586452763,0.0617760617760617,GOOD,1.0018518518518518
75,Irvine,Irvine,Southern Region Office,Orange,10/7/1987,12/31/2050,True,True,410,Grass,33.68845,-117.72118,"['92710', '92707', '92667', '92650', '92630', '92623', '92620', '92619', '92618', '92616', '92614', '92612', '92606', '92604', '92603', '92602']",,0.9352346999405823,0.9417706476530006,0.9120617944147356,0.8995840760546643,0.9358288770053476,0.8888888888888888,0.2007722007722007,BAD,0.094074074074074
77,Oakville,Napa,North Central Region Office,Napa,3/1/1989,12/31/2050,True,True,190,Grass,38.428475,-122.41021,"['94573', '94574', '94562']",,0.9435531788472965,0.9399881164587047,0.9090909090909091,0.9483065953654188,0.9352346999405823,0.9298871063576946,0.1428571428571428,BAD,0.2548148148148148
78,Pomona,Pomona,Southern Region Office,Los Angeles,3/14/1989,12/31/2050,True,True,730,Grass,34.056589,-117.81307,"['91799', '91797', '91769', '91768', '91767', '91766', '91765']",,0.9174093879976233,0.9934640522875817,0.9714795008912656,0.958407605466429,0.952465834818776,0.9120617944147356,0.1351351351351351,BAD,1.0
